Mesh ID,Generic name,Common name,Synonyms,Tree
D002132,Calcium Radioisotopes,Calcium Radioisotopes,"Radioisotopes, Calcium|Calcium Radioisotopes",D01.496.098.325|D01.496.749.113|D01.268.552.100.500.325|D01.552.539.288.500.325
D002135,Calcium-Binding Proteins,Calcium-Binding Proteins,"Binding Protein, Calcium|Calcium Binding Protein|Calcium-Binding Protein|Calcium-Binding Proteins|Binding Proteins, Calcium|Protein, Calcium-Binding|Protein, Calcium Binding|Calcium Binding Proteins",D12.776.157.125
D002142,Californium,Californium,Californium,D01.552.020.200|D01.552.544.156|D01.496.749.305.100.150|D01.268.271.100.150|D01.268.556.156
D002147,Calmodulin,Calmodulin,"Calcium-Dependent Regulator|Calcium Dependent Activator Protein|Activator, Cyclic AMP-Phosphodiesterase|Phosphodiesterase Activating Factor|Bovine Activator Protein|Activator Protein, Bovine|Regulator, Calcium Dependent|Calcium-Dependent Activator Protein|Activating Factor, Phosphodiesterase|Regulator, Calcium-Dependent|Activator, Phosphodiesterase Protein|Phosphodiesterase Protein Activator|Phosphodiesterase Activator Protein|AMP-Phosphodiesterase Activator, Cyclic|Calmodulin|Cyclic AMP Phosphodiesterase Activator|Cyclic AMP-Phosphodiesterase Activator|Factor, Phosphodiesterase Activating|Activator Protein, Calcium-Dependent|Protein, Calcium-Dependent Activator|Protein, Phosphodiesterase Activator|Activator Protein, Phosphodiesterase|Calcium Dependent Regulator|Protein Activator, Phosphodiesterase|Protein, Bovine Activator",D12.776.476.387.249|D12.776.157.125.412.249|D12.644.360.372.249
D002148,Calmodulin-Binding Proteins,Calmodulin-Binding Proteins,"Proteins, Calmodulin-Binding|Caldesmon (77)|Calspectin|CaM-BP(80)|Calmodulin-Binding Proteins|Calmodulin Binding Proteins|Caldesmon",D12.776.157.142
D002154,Calpain,Calpain,"Calcium Activated Protease|Protease, Calcium-Dependent Neutral|Neutral Protease, Calcium-Activated|Calcium-Activated Neutral Proteinase|Calpain|Neutral Proteinase, Calcium-Dependent|Calcium-Dependent Neutral Protease|Proteinase, Calcium-Dependent Neutral|Calcium Dependent Neutral Protease|Protease, Calcium-Activated Neutral|Proteinase, Calcium-Activated Neutral|Calpain II|Calcium-Activated Protease|Calcium-Activated Neutral Protease|Calcium Dependent Neutral Proteinase|Calpain I|Neutral Protease, Calcium-Dependent|Neutral Proteinase, Calcium-Activated|Protease, Ca2+-Activated|Calcium-Dependent Neutral Proteinase|Ca2+ Activated Protease|Ca2+-Activated Protease|Protease, Calcium-Activated|Calcium Activated Neutral Proteinase|Calcium Activated Neutral Protease|Desminase",D08.811.277.656.300.200.120|D08.811.277.656.262.500.120
D002155,Calsequestrin,Calsequestrin,Calsequestrin,D12.776.210.500.220|D12.776.157.125.155
D000969,Cambendazole,Cambendazole,5-Isopropoxycarbonylamino-2-(4-thiazoyl)benzimidazole|Noviben|Cambendazole,D03.633.100.103.190
D000935,Candicidin,Candicidin,Candimon|Levorin|Candicidin D|Levorine|Candicidin|Vanobid|Candeptin,D02.540.576.500.968
D000927,Cannabidiol,Cannabidiol,"Cannabidiol|Epidiolex|1,3-Benzenediol, 2-(3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl)-5-pentyl-, (1R-trans)-",D02.455.849.090.100
D043882,Cannabinoids,Cannabinoids,Cannabinoid|Cannabinoids,D02.455.849.090
D002187,Cannabinol,Cannabinol,Cannabinol,D02.455.849.090.110
D000451,Canrenoic Acid,Canrenoic Acid,"Canrenoate Potassium|SC 14266|Spiroctan|17 Hydroxy 3 Oxo 17alpha Pregna 4,6 Diene 21 Carboxylic Acid|Kalium Can. Ratiopharm|SC-14266|Soludactone|Acid, 17-Hydroxy-3-Oxo-17alpha-Pregna-4,6-Diene-21-Carboxylic|Acid, Canrenoic|Canrenoate, Potassium|Soldactone|Kalium-Can.-Ratiopharm|17-Hydroxy-3-Oxo-17alpha-Pregna-4,6-Diene-21-Carboxylic Acid|SC14266|Canrenoic Acid|Potassium Canrenoate",D04.210.500.745.432.100
D000451,Canrenone,Canrenone,"Phanurane|11614 R.P.|SC 9376|Canrenone|R.P., 11614|Aldadiene|SC-9376|SC9376",D04.210.500.745.432.120
D007509,Cantharidin,Cantharidin,Cantharidin|Cantharides|Cantharidine,D03.633.100.127.125
D011500,Capreomycin,Capreomycin,Capreomycin|Capastat|Capreomycin Sulfate|Capromycin,D04.345.566.142|D12.644.641.142
D002208,Caproates,Caproates,"Acid Derivatives, Caproic|Derivatives, Hexanoic Acid|Caproates|Hexanoates|Acids, Caproic|Derivatives, Caproic Acid|Acid Derivatives, Hexanoic|Caproic Acids|Hexanoic Acid Derivatives|Caproic Acid Derivatives|Hexanoic Acids|Acids, Hexanoic",D02.241.081.193|D10.251.400.326
D002209,Caprolactam,Caprolactam,"Aminocaproic Lactam|Hexahydro-2H-Azepin-2-One|Lactam, Aminocaproic|Hexahydro 2H Azepin 2 One|Caprolactam",D03.383.411.200|D02.065.589.200|D03.383.066.150
D018689,Capsaicin,Capsaicin,8-Methyl-N-Vanillyl-6-Nonenamide|8 Methyl N Vanillyl 6 Nonenamide|Katrum|Capsicum Farmaya|Axsain|Zostrix|Capsin|Capsaicine|Gelcen|Zacin|NGX 4010|Antiphlogistine Rub A-535 Capsaicin|NGX4010|Capsidol|Capsaicin|NGX-4010|Capzasin,D02.455.326.271.690.222|D10.251.355.325.190|D02.065.690.500|D03.132.760.200|D02.455.426.559.389.657.166.099
D005659,Captan,Captan,"N Trichloromethylthio 4 cyclohexane 1,2 dicarboximide|N-Trichloromethylthio-4-cyclohexane-1,2-dicarboximide|Vancide 89|Captan",D03.633.100.513.124
D000959,Captopril,Captopril,"Capoten|SQ14225|SQ 14,534|SQ 14534|Lopirin|SQ14,534|SQ14534|SQ-14,225|SQ14,225|SQ 14,225|Captopril|SQ-14534|SQ-14,534|(S)-1-(3-Mercapto-2-methyl-1-oxopropyl)-L-proline|SQ 14225|SQ-14225",D12.125.072.401.623.270
D018712,Carbachol,Carbachol,"Carbocholine|Jestryl|Carbamann|Carbastat|Isopto Carbachol|Carboptic|Carbachol, Isopto|Doryl|Carbamylcholine|Miostat|Carbachol|Carbamoylcholine|Carbacholine",D02.092.877.883.333.115|D02.675.276.232.115
D009153,Carbadox,Carbadox,Carbadox|Getroxel|Fortrigo|Mecadox,D02.241.081.251.140|D03.633.100.857.140
D002219,Carbamates,Carbamates,"Acids, Carbamic|Carbamates|Aminoformic Acids|Carbamate|Acids, Aminoformic|Carbamic Acids",D02.241.081.251
D065701,Carbamazepine,Carbamazepine,Carbamazepine Anhydrous|Neurotol|Carbazepin|Carbamazepine Hydrochloride|Carbamazepine Phosphate|Carbamazepine|Carbamazepine Acetate|Tegretol|Epitol|Finlepsin|Amizepine|Carbamazepine L-Tartrate (4:1)|Carbamazepine Dihydrate|Carbamazepine Sulfate (2:1),D03.633.300.240.127
D002221,Carbamyl Phosphate,Carbamyl Phosphate,"Carbamyl Phosphate|Dilithium Carbamyl Phosphate|Phosphate, Carbamyl|Phosphate, Dilithium Carbamyl|Carbamyl Phosphate, Dilithium|Carbamoyl Phosphate|Phosphate, Carbamoyl",D02.241.081.251.145|D02.705.400.100
D020165,Carbamoyl-Phosphate Synthase (Ammonia),Carbamoyl-Phosphate Synthase (Ammonia),"Carbamoyl-Phosphate Synthetase (Ammonia)|Synthase I, CP|Synthetase I, Carbamoylphosphate|Carbamyl-Phosphate Synthase (Ammonia)|Carbamoyl-Phosphate Synthetase I|Carbamoyl Phosphate Synthetase I|CP Synthase I|Carbamyl Phosphate Synthase (Ammonia)|Carbamoylphosphate Synthetase I|Synthetase I, Carbamoyl-Phosphate|Carbamoyl-Phosphate Synthase (Ammonia)",D08.811.464.259.350
D002223,Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing),Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing),"Carbamyl Phosphate Synthase (Glutamine)|Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing)|Synthetase II, Carbamoylphosphate|Carbamyl-Phosphate Synthase (Glutamine)|Carbamoyl-Phosphate Synthase (Glutamine)|Carbamyl Phosphate Synthase II|Carbamoylphosphate Synthetase II",D08.811.464.259.400.300
D002224,Carbanilides,Carbanilides,"Compounds, Diphenylurea|Diphenylurea Compounds|Carbanilides",D02.065.199.326|D02.092.146.113.326|D02.065.950.681.202|D02.455.426.559.389.703.202
D018906,Carbazilquinone,Carbazilquinone,Carboquinone|Carboquone|Esquinon|Carbazilquinone,D02.806.250.180|D03.383.097.217.300
D002227,Carbazoles,Carbazoles,Carbazoles,D03.633.300.148|D03.633.100.473.144
D000900,Carbenicillin,Carbenicillin,"Carboxybenzyl Penicillin|Carbecin|Microcillin|Geopen|Carbenicillin|Penicillin, Carboxybenzyl|Carbenicillin Disodium|Carbapen|Pyopen|Anabactyl|Disodium, Carbenicillin",D02.886.108.750.750.170|D02.065.589.099.750.750.170|D03.633.100.300.750.750.170
D000897,Carbenoxolone,Carbenoxolone,"Carbenoxalone|Sanodin|Acid 3beta-O-Hemisuccinate, 18alpha-Glycyrrhetinic|Carbenoxolone|3beta-O-Hemisuccinate, 18alpha-Glycyrrhetinic Acid|Carbenoxolone Disodium Salt|Carbenoxolone Sodium|Acid 3-O-hemisuccinate, Glycyrrhetinic|18alpha-Glycyrrhetinic Acid 3beta-O-Hemisuccinate|3-O-hemisuccinate, Glycyrrhetinic Acid|Duogastrone|Carbosan|Biogastrone|18alpha-Carbenoxolone|Pharmaxolon|Bioral|Glycyrrhetinic Acid 3 O hemisuccinate|18alpha Carbenoxolone|Glycyrrhetinic Acid 3-O-hemisuccinate|Carbeneoxolone|18alpha Glycyrrhetinic Acid 3beta O Hemisuccinate",D02.455.849.919.530.444.250
D013956,Carbimazole,Carbimazole,Carbimazole|Neo-Thyreostat|Carbimazole Henning|Neo-Mercazole|Neomercazole|Neo Tomizol,D03.383.129.308.108
D004396,Carbocyanines,Carbocyanines,Carbocyanines|Carbocyanine,D02.455.326.397.300
D005100,Carbocysteine,Carbocysteine,"3-(Carboxymethylthio)alanine|S-Carboxymethylcysteine|Rhinathiol|S-(Carboxymethyl)-L-cysteine|Mucodyne|L-Isomer Carbocysteine|Mukodin|S Carboxymethylcysteine|Carbocysteine|Thiodril|Carbocysteine, L-Isomer|Mucodine|Carbocysteine, L Isomer",D12.125.119.270|D12.125.166.230.310|D02.886.030.230.310
D007306,Carbofuran,Carbofuran,Furadan|NIA10242|Carbofuran|NIA-10242|NIA 10242|Bayer 70143,D02.241.081.251.583.166
D002237,Carbohydrate Dehydrogenases,Carbohydrate Dehydrogenases,"Carbohydrate Dehydrogenases|Oxidoreductases, Carbohydrate|Dehydrogenases, Carbohydrate|Carbohydrate Oxidoreductases",D08.811.682.047.150
D002238,Carbohydrate Epimerases,Carbohydrate Epimerases,"Carbohydrate Isomerases|Isomerases, Carbohydrate|Epimerases, Carbohydrate|Carbohydrate Epimerases",D08.811.399.894.500
D002243,Carbolines,Carbolines,"Pyrido(4,3-b)Indole|Carboline|Carbolines|Beta Carbolines|Beta-Carbolines|Pyrido(4,3-b)Indoles",D03.383.725.150|D03.633.300.154|D03.633.100.473.402.111
D002250,Carbon Radioisotopes,Carbon Radioisotopes,"Radioisotopes, Carbon|Carbon Radioisotopes",D01.268.150.075.328|D01.496.749.154|D01.496.123.328
D002252,Carbon Tetrachloride,Carbon Tetrachloride,"Carbon Tetrachloride|Tetrachloride, Carbon|Tetrachloromethane",D02.455.526.439.150
D002257,Carbonic Anhydrases,Carbonic Anhydrases,"Anhydrases, Carbonic|Carbonic Anhydrases|Carbonic Anhydrase|Dehydratase, Carbonate|Carbonate Dehydratase",D08.811.520.241.300.150
D002257,Carbonic Anhydrase Inhibitors,Carbonic Anhydrase Inhibitors,"Anhydrase Inhibitor, Carbonic|Inhibitors, Carbonic Anhydrase|Inhibitor, Carbonic Anhydrase|Carbonate Dehydratase Inhibitors|Inhibitors, Carbonate Dehydratase|Carbonic Anhydrase Inhibitor|Inhibitors, Carboxyanhydrase|Inhibitor, Carbonate Dehydratase|Inhibitor, Carboxyanhydrase|Carbonate Dehydratase Inhibitor|Carboxyanhydrase Inhibitor|Carbonic Anhydrase Inhibitors|Carboxyanhydrase Inhibitors|Dehydratase Inhibitor, Carbonate",D27.505.519.389.200
D010120,Carboprost,Carboprost,15-Methylprostaglandin F2alpha|15 Methylprostaglandin F2alpha|Carboprost|15(S)-15-Methyl PGF2alpha,D10.251.355.255.550.775.500.150|D23.469.050.175.725.775.500.150|D23.469.700.670.150
D005659,Carboxin,Carboxin,"Vitavax|5,6-Dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide|D735|D-735|Carboxin|D 735",D03.383.517.200|D02.092.146.113.350|D02.065.199.350
D002262,Carboxy-Lyases,Carboxy-Lyases,Carboxy-Lyases|Decarboxylases|Carboxy-Lyase|Carboxy Lyases|Decarboxylase|Carboxy Lyase,D08.811.520.224.125
D002263,Carboxyhemoglobin,Carboxyhemoglobin,Carboxyhemoglobin A|Carbomonoxyhemoglobin|Carbonylhemoglobin|Carbonmonoxyhemoglobin|Carboxyhemoglobin|Carboxyhemoglobin C,D12.776.124.400.141|D12.776.422.316.762.149
D002265,Carboxylic Ester Hydrolases,Carboxylic Ester Hydrolases,"Ester Hydrolases, Carboxylic|Carboxylic Ester Hydrolases|Carboxylesterases|Hydrolases, Carboxylic Ester",D08.811.277.352.100
D054368,Carboxymethylcellulose Sodium,Carboxymethylcellulose Sodium,"Sodium, Carboxymethylcellulose|Polycell|Carboxymethylcellulose, Sodium|Carboxymethylcellulose|Sodium, Carmellose|Aquacel|Cethylose|Ruspol|Croscarmellose Sodium|Carboxymethyl Cellulose|Sodium, Croscarmellose|Carmellose Sodium|Cellulose, Carboxymethyl|Cellolax|Carboxymethylcellulose Sodium|Aquaplast|Sodium Carboxymethylcellulose",D09.698.365.180.663.329
D002267,Muramoylpentapeptide Carboxypeptidase,Muramoylpentapeptide Carboxypeptidase,"Carboxypeptidase, Muramoylpentapeptide|Muramoylpentapeptide Carboxypeptidase|Transpeptidase, Carboxypeptidase|Carboxypeptidase Transpeptidase",D08.811.277.656.350.245.500
D002268,Carboxypeptidases,Carboxypeptidases,Carboxypeptidase|Carboxypeptidases,D08.811.277.656.350.245
D007004,Carbutamide,Carbutamide,Glybutamide|Oranil|Bukarban|Oranyl|Carbutamide|Glucidoral|Butylcarbamide|Aminophenurobutane|Sulfaninylbutylurea|Diabetal|Bucarban,D02.886.590.795.204|D02.886.590.700.090.010|D02.065.950.828.204|D02.065.884.060.010|D02.455.426.559.389.085.010
D002272,Carcinoembryonic Antigen,Carcinoembryonic Antigen,"CD66e Antigens|Carcinoembryonic Antigen|Antigens, CD66e|Antigen, CD66e|Antigen, Carcinoembryonic|CD66e Antigen",D23.050.301.350.210|D23.050.285.329|D09.400.430.890.200.210|D12.776.395.550.200.210|D23.101.140.300|D12.776.543.550.200.210
D016588,Carcinogens,Carcinogens,"Oncogens|Initiator, Tumor|Carcinogens|Oncogen|Tumor Promoters|Promoters, Tumor|Tumor Promoter|Promoter, Tumor|Tumor Initiator|Initiators, Tumor|Carcinogen|Tumor Initiators",D27.888.569.100
D002274,"Carcinogens, Environmental","Carcinogens, Environmental","Carcinogens, Environmental|Environmental Carcinogens",D27.888.569.100.125
D002297,Cardanolides,Cardanolides,Cardanolides,D04.210.500.155
D002298,Cardenolides,Cardenolides,Cardenolides|Cardenolide,D04.210.500.155.580.130
D017153,Cardiolipins,Cardiolipins,Cardiolipin|Cardiolipins|Diphosphatidylglycerol|Diphosphatidylglycerols,D10.570.755.375.760.400.885.185|D23.050.550.480.330
D002314,Cardioplegic Solutions,Cardioplegic Solutions,"Solution, Cardioplegic|Solutions, Cardioplegic|Cardioplegic Solutions|Cardioplegic Solution",D26.776.708.160|D27.505.954.411.207|D27.505.954.578.322|D27.720.752.322
D002316,Cardiotonic Agents,Cardiotonic Agents,"Drug, Cardiotonic|Agent, Cardiotonic|Cardiotonics|Inotropic Agents, Positive Cardiac|Cardiotonic Agents|Cardiac Stimulant|Stimulant, Myocardial|Cardiotonic Drugs|Cardioprotective Agents|Agent, Cardioprotective|Cardiotonic Agent|Cardiac Stimulants|Cardiotonic|Stimulant, Cardiac|Cardiotonic Drug|Myocardial Stimulants|Cardioprotective Agent|Myocardial Stimulant",D27.505.954.411.222|D27.720.799.080
D002317,Cardiovascular Agents,Cardiovascular Agents,"Cardioactive Drugs|Cardiovascular Agents|Cardioactive Agent|Cardiovascular Agent|Agent, Cardiovascular|Cardioactive Agents|Cardiovascular Drug|Cardioactive Drug|Drug, Cardioactive|Cardiovascular Drugs|Drug, Cardiovascular|Agent, Cardioactive",D27.505.954.411
D000900,Carfecillin,Carfecillin,"Carfecillin Sodium Salt|BRL 3475|Carphecillin|BRL3475|BRL-3475|Salt, Carfecillin Sodium|Uticillin|Sodium Salt, Carfecillin|Carbenicillin Phenyl Sodium|Carfecillin",D03.633.100.300.750.750.170.200|D02.886.108.750.750.170.200|D02.065.589.099.750.750.170.200
D009125,Carisoprodol,Carisoprodol,Isomeprobamate|Isobamate|Soma|Vanadom|Somalgit|Mio Relax|Soprodol|Carisoma|Carisoprodate|Carisoprodol|Isopropylmeprobamate,D02.241.081.251.165
D005505,Carmine,Carmine,"Dye, Cochineal|Natural Red 4|Cochineal Dye|Carminic Acid|Coccinellin|C.I. 75470|7-Glucopyranosyl-3,5,6,8-tetrahydroxyl-1-methyl-9,10-dioxoanthracene-2-carboxylic Acid|Carmine",D02.806.100.200|D02.455.426.559.847.117.380.625.200|D04.615.125.380.625.200
D018906,Carmustine,Carmustine,"FIVB|BiCNU|N,N'-Bis(2-Chloroethyl)-N-Nitrosourea|Carmustine|1,3-Bis(2-Chloroethyl)-1-Nitrosourea|Nitrumon|BCNU",D02.065.950.594.247|D02.654.692.247
D002331,Carnitine,Carnitine,Levocarnitine|Bicarnesine|L-Carnitine|Carnitine|Vitamin BT|L Carnitine,D02.092.877.883.099
D002332,Carnitine O-Acetyltransferase,Carnitine O-Acetyltransferase,"O-Acetyltransferase, Carnitine|Carnitine O Acetyltransferase|Carnitine-Acetyl-CoA-Transferase|Carnitine Acetyl CoA Transferase|Carnitine O-Acetyltransferase|Carnitine Acetyltransferase|Acetyltransferase, Carnitine",D08.811.913.050.134.150|D08.811.913.050.350.170
D002333,Carnitine Acyltransferases,Carnitine Acyltransferases,"Translocase, Carnitine-Acylcarnitine|Translocase, Acylcarnitine|Carnitine-Acetylcarnitine Translocase|Translocase, Carnitine|Translocase, Carnitine-Acetylcarnitine|Carnitine Acetylcarnitine Translocase|Carnitine-Acylcarnitine Translocase|Carnitine Acyltransferases|Carnitine Acylcarnitine Translocase|Carnitine Translocase|Acylcarnitine Translocase|Acyltransferases, Carnitine",D08.811.913.050.350
D002334,Carnitine O-Palmitoyltransferase,Carnitine O-Palmitoyltransferase,"Carnitine O-Palmitoyltransferase|Palmitoyltransferase I, Carnitine|CPT II|Acyltransferase, Palmitylcarnitine|Transferase, Palmitoylcarnitine|Acyltransferase I, Carnitine|Carnitine Palmitoyltransferase II|Carnitine O Palmitoyltransferase|Palmitoylcarnitine Transferase|Carnitine Palmitoyltransferase|II, Carnitine Palmitoyltransferase|Carnitine Acyltransferase I|Palmitoyltransferase II, Carnitine|Palmitylcarnitine Acyltransferase|O-Palmitoyltransferase, Carnitine|Palmitoyltransferase, Carnitine|Carnitine Palmitoyltransferase I",D08.811.913.050.350.200
D002336,Carnosine,Carnosine,"L-Carnosine|L Carnosine|Hydrochloride, Carnosine|Carnosine Hydrochloride|beta-Alanylhistidine|beta Alanylhistidine|Carnosine, (D-His)-Isomer|Carnosine",D12.644.456.345.331|D12.776.631.650.100|D12.644.400.100
D013565,Carteolol,Carteolol,"OPC-1085|Carteolol Hydrochloride|Carteolol Monohydrochloride|Hydrochloride, Carteolol|Carteolol|OPC1085|Monohydrochloride, Carteolol|OPC 1085",D02.033.755.624.698.207|D02.033.100.624.698.207|D03.633.100.810.835.188|D02.092.063.624.698.207
D000779,Carticaine,Carticaine,"Hoe-045|Hoe045|Carticaine Hydrochloride|Hoe 40045|Hoe 045|Articaine|Hydrochloride, Carticaine|Hoe-40045|Ultracaine|Hoe40045|Articain|Carticaine|Carticain",D03.383.903.150|D02.886.778.150
D059005,Carubicin,Carubicin,"Carubicin|NSC-180024|Carminomycin|NSC-180,024|Demethyldaunorubicin|Karminomycin|NSC180024|Hydrochloride, Carubicin|Rubeomycin A1|NSC 180024|Carminomycin I|Carminomycin II|NSC 180,024|Demethyldaunomycin|Carubicin Hydrochloride|Rubeomycin A|Karminomicin|NSC180,024|Carminomycin III|Carminomicin",D09.408.051.059.200.150|D02.455.426.559.847.562.050.200.150|D04.615.562.050.200.150
D002614,Caseins,Caseins,"beta-Caseins|gamma-Caseins|beta-Casein Acetylated, Dephosphorylated|alpha(S2)-Casein|alpha(S1)-Casein C|Sodium Caseinate|alpha Caseins|beta Casein|alpha Casein|beta Caseins|kappa-Casein|gamma Casein|gamma Caseins|gamma-Casein|beta-Casein, AD|Casein|AD beta Casein|Acetylated, Dephosphorylated beta-Casein|AD beta-Casein|alpha(S1)-Casein A|Caseinate, Sodium|alpha-Casein|epsilon-Casein|alpha-Caseins|K Casein|K-Casein|kappa Caseins|Caseins|Casein A|kappa Casein|kappa-Caseins|alpha(S1)-Casein|alpha(S1)-Casein B|epsilon Casein|beta-Casein",D12.776.744.150|D12.776.256.159.750.207
D002400,Castor Oil,Castor Oil,"Castor Oil|Oil, Castor",D10.627.700.132|D10.212.507.300|D20.215.784.750.132
D002373,Cyclic AMP Receptor Protein,Cyclic AMP Receptor Protein,"cAMP Receptor Proteins|Gene Activators, Catabolic|Regulator Proteins, Catabolite|Activators, Catabolic Gene|Catabolite Regulator Proteins|Receptor Protein, cAMP|Proteins, Catabolite Regulator|Proteins, Catabolite Activator|Protein, Catabolite Regulator|Catabolite Activator Protein|Catabolite Gene Activator Proteins|Cyclic AMP Receptor Proteins|Catabolite Activator Proteins|Catabolite Gene Activator Protein|Receptor Proteins, cAMP|Protein, cAMP Receptor|Activator, Catabolic Gene|cAMP Receptor Protein|Activator Proteins, Catabolite|Gene Activator, Catabolic|Cyclic AMP Receptor Protein|Proteins, cAMP Receptor|Protein, Catabolite Activator|Catabolite Regulator Protein|Catabolic Gene Activators|Activator Protein, Catabolite|Catabolic Gene Activator|Regulator Protein, Catabolite",D12.776.930.165
D000975,Catalase,Catalase,Catalase A|Catalase|Mn Catalase|Catalase T|Manganese Catalase,D08.811.682.732.332
D002392,Catechin,Catechin,"Zyma|3,3',4',5,7-Flavanpentol|Catechinic Acid|Cyanidanol-3|Cianidanol|Catergen|Epicatechin|KB 53|(2R,3R)-2-(3,4-Dihydroxyphenyl)-3,5,7-chromanetriol|Catechuic Acid|Z 7300|KB53|Cyanidanol 3|(+)-Cyanidanol-3|(-)-Epicatechin|Catechin|(+)-Catechin|(+)-Cyanidanol|2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R-cis)-|KB-53",D03.383.663.283.266.450.206|D03.383.663.283.240.190|D03.633.100.150.266.450.206|D03.633.100.150.240.190
D002393,"Estrogens, Catechol","Estrogens, Catechol","Catechol Estrogens|Catecholestrogens|Estrogens, Catechol",D06.472.334.851.437.984|D02.455.426.559.389.657.166.350
D065098,Catechol O-Methyltransferase,Catechol O-Methyltransferase,"Catechol O-Methyltransferase|Catechol O Methyltransferase|O-Methyltransferase, Catechol|Catechol-O-Methyltransferase|Methyltransferase, Catechol|Catechol Methyltransferase",D08.811.913.555.500.250
D002396,Catechols,Catechols,o Dihydroxybenzenes|Pyrocatechols|ortho Dihydroxybenzenes|ortho-Dihydroxybenzenes|o-Dihydroxybenzenes|Catechols,D02.455.426.559.389.657.166
D002400,Cathartics,Cathartics,"Solution, Bowel Preparation|Preparation Solutions, Bowel|Bowel Evacuant|Bowel Evacuants|Cathartics|Evacuant, Bowel|Bowel Preparation Solution|Purgative|Purgatives|Bowel Preparation Solutions|Evacuants, Bowel|Solutions, Bowel Preparation|Preparation Solution, Bowel|Cathartic",D27.505.954.483.396
D002401,Cathepsin B,Cathepsin B,"Cathepsin B|Cathepsin B1|Proteinase, Cathepsin B-Like|Cathepsin B Like Proteinase|Cathepsin B-Like Proteinase",D08.811.277.656.262.500.133|D08.811.277.656.224.125|D08.811.277.656.300.200.133
D002402,Cathepsin D,Cathepsin D,Cathepsin D,D08.811.277.656.224.187|D08.811.277.656.300.048.180|D08.811.277.656.074.500.180
D002403,Cathepsins,Cathepsins,Cathepsins|Cathepsin,D08.811.277.656.224
D002411,Cation Exchange Resins,Cation Exchange Resins,"Resins, Cation Exchange|Exchange Resins, Cation|Resin, Cation Exchange|Exchange Resin, Cation|Cation Exchange Resins|Cation Exchange Resin|Cation Exchangers (Resins)",D27.720.470.420.275
D002412,Cations,Cations,Cations|Cation,D01.248.497.300
D002413,"Cations, Divalent","Cations, Divalent","Divalent Cations|Cations, Divalent",D01.248.497.300.333
D002414,"Cations, Monovalent","Cations, Monovalent","Monovalent Cations|Cations, Monovalent|Monovalent Cation|Cation, Monovalent",D01.248.497.300.459
D000900,Cefaclor,Cefaclor,"S 6472|Cefaclor Monohydrate|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((aminophenylacetyl)amino)-3-chloro-8-oxo-, (6R-(6alpha,7beta(R*)))-|Ceclor|Lilly 99638|Cefaclor Anhydrous|S6472|Cefaclor|Keclor|S-6472",D03.633.100.300.249.200.155|D02.065.589.099.249.200.155|D02.886.665.074.200.155
D000900,Cefadroxil,Cefadroxil,"Cephadroxyl|Cefadroxil|Ultracef|4-Hydroxycephalexin|BLS 578|4 Hydroxycephalexin|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((amino(4-hydroxyphenyl)acetyl)amino)-3-methyl-8-oxo-, (6R-(6alpha,7beta(R*)))-|BL S578|BL-S578|Duricef|Bidocef|BL S 578|S578|Cefadroxil Monohydrate|BL-S 578|S 578|S-578|Cefadroxil Anhydrous|BLS578",D03.633.100.300.249.200.165|D02.065.589.099.249.200.165|D02.886.665.074.200.165
D000900,Cefamandole,Cefamandole,Compound 83405|Cephamandole|Cefamandole,D03.633.100.300.249.150|D02.065.589.099.249.150|D02.886.665.074.150
D000900,Cefatrizine,Cefatrizine,SKF 60771|F-60771|SKF-60771|F60771|S 640-P|Cefatrizine|F 60771|&|SK|S 640 P|S-640P|SKF60771|S 640P|BL-S 640|BL S 640|BL S640|BLS 640|S640P|BL-S640|BLS640,D02.886.665.074.200.165.125|D02.065.589.099.249.200.165.125|D03.633.100.300.249.200.165.125
D000900,Cefazolin,Cefazolin,"Cefazolin Sodium|Cephazolin, Sodium|Cephazolin Sodium|Cefamedin|Ancef|Cephamezine|Sodium Cephazolin|Cefamezine|Cephazolin|Totacef|Sodium, Cefazolin|Sodium, Cephazolin|Cefazolin|Gramaxin|Kefzol",D02.886.665.074.160|D03.633.100.300.249.160|D02.065.589.099.249.160
D000900,Cefoperazone,Cefoperazone,"Cefobid|T-1551|Sodium Salt, Cefoperazone|Cefoperazon|T 1551|T1551|Céfobis|Cefoperazone Sodium Salt|Salt, Cefoperazone Sodium|Cefoperazone Sodium|Sodium, Cefoperazone|Cefoperazone",D03.633.100.300.249.150.160|D02.065.589.099.249.150.160|D02.886.665.074.150.160
